white,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
0,5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7
1,3.9,0.225,0.4,4.2,0.03,29,118,0.989,3.57,0.36,12.8,8
0,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
1,6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5
1,6.2,0.44,0.18,7.7,0.096,28,210,0.99771,3.56,0.72,9.2,5
0,6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,5
0,6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,6
0,6.5,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5
0,6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5
1,5.8,0.6,0,1.3,0.044,72,197,0.99202,3.56,0.43,10.9,5
0,5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6
0,5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6
0,6.2,0.52,0.08,4.4,0.071,11,32,0.99646,3.56,0.63,11.6,6
0,6.3,0.36,0.19,3.2,0.075,15,39,0.9956,3.56,0.52,12.7,6
0,5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8
0,5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7
0,5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,5
1,5.2,0.31,0.2,2.4,0.027,27,117,0.98886,3.56,0.45,13,7
1,5.2,0.3,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13,8
0,7,0.45,0.34,2.7,0.082,16,72,0.998,3.55,0.6,9.5,5
0,7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6
0,7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6
0,7.1,0.59,0.01,2.5,0.077,20,85,0.99746,3.55,0.59,9.8,5
0,6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,3
1,5.2,0.185,0.22,1,0.03,47,123,0.99218,3.55,0.44,10.15,6
0,5.8,0.61,0.11,1.8,0.066,18,28,0.99483,3.55,0.66,10.9,6
1,5.9,0.12,0.27,4.8,0.03,40,110,0.99226,3.55,0.68,12.1,6
0,6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,5
0,6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6
1,5.5,0.34,0.26,2.2,0.021,31,119,0.98919,3.55,0.49,13,8
0,6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5
0,5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5
1,7,0.27,0.29,3.9,0.059,28,199,0.9961,3.54,0.59,10.3,5
1,6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,5
1,7.4,0.18,0.29,1.4,0.042,34,101,0.99384,3.54,0.6,10.5,7
0,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5
0,8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5
0,6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6
0,6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,6
0,8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5
0,6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6
0,6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6
1,6,0.19,0.29,1.1,0.047,67,152,0.9916,3.54,0.59,11.1,7
0,7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,4
0,6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5
0,6.2,0.56,0.09,1.7,0.053,24,32,0.99402,3.54,0.6,11.3,5
1,5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7
0,6.2,0.7,0.15,5.1,0.076,13,27,0.99622,3.54,0.6,11.9,6
0,5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7
0,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.56666667,7
0,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7
1,6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4
0,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.233333333,6
0,6.9,0.84,0.21,4.1,0.074,16,65,0.99842,3.53,0.72,9.25,6
0,7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5
0,7.2,0.6,0.04,2.5,0.076,18,88,0.99745,3.53,0.55,9.5,5
1,6.2,0.255,0.24,1.7,0.039,138.5,272,0.99452,3.53,0.53,9.6,4
0,7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5
0,7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5
0,7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,6
0,6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,5
0,7,0.5,0.14,1.8,0.078,10,23,0.99636,3.53,0.61,10.4,5
0,8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,6
0,6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,6
1,7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
1,7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7
0,8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6
1,7.4,0.14,0.3,1.3,0.033,25,91,0.99268,3.53,0.39,10.6,6
0,6.9,0.56,0.03,1.5,0.086,36,46,0.99522,3.53,0.57,10.6,5
1,6.3,0.2,0.26,1.6,0.027,36,141,0.99268,3.53,0.56,10.8,6
1,6.8,0.25,0.24,1.6,0.045,39,164,0.99402,3.53,0.58,10.8,5
0,6.6,0.895,0.04,2.3,0.068,7,13,0.99582,3.53,0.58,10.8,6
0,8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5
0,6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,4
0,6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1,5
1,6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,7
1,6.3,0.41,0.3,3.2,0.03,49,164,0.9927,3.53,0.79,11.7,7
1,4.7,0.785,0,3.4,0.036,23,134,0.98981,3.53,0.92,13.8,6
0,6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6
0,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
0,7.3,0.51,0.18,2.1,0.07,12,28,0.99768,3.52,0.73,9.5,6
0,6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,6
0,7.2,0.5,0.18,2.1,0.071,12,31,0.99761,3.52,0.72,9.6,6
0,7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5
1,7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
1,7.2,0.15,0.39,1.8,0.043,21,159,0.9948,3.52,0.47,10,5
1,7,0.22,0.39,2.1,0.055,39,198,0.9951,3.52,0.54,10.2,6
0,7,0.6,0.12,2.2,0.083,13,28,0.9966,3.52,0.62,10.2,7
1,7.4,0.17,0.29,1.4,0.047,23,107,0.9939,3.52,0.65,10.4,6
1,6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6
1,6.6,0.19,0.43,10.9,0.045,53,154,0.99752,3.52,0.77,10.4,6
1,7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,7
1,7.4,0.18,0.27,1.3,0.048,26,105,0.994,3.52,0.66,10.6,6
0,6,0.64,0.05,1.9,0.066,9,17,0.99496,3.52,0.78,10.6,5
0,6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6
0,8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7,5
0,6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,4
0,6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,5
1,5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6,4
0,6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,5
0,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7
0,6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7
0,7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,7
0,5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,5
0,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
0,7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
0,7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5
0,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5
0,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,5
0,7.2,0.62,0.06,2.5,0.078,17,84,0.99746,3.51,0.53,9.7,5
0,7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,5
0,8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,5
0,7.8,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6
0,6.8,0.81,0.05,2,0.07,6,14,0.99562,3.51,0.66,10.8,6
0,6.2,0.44,0.39,2.5,0.077,6,14,0.99555,3.51,0.69,11,6
1,5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,4
0,6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3,6
0,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4
0,6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,6
0,7.6,0.735,0.02,2.5,0.071,10,14,0.99538,3.51,0.71,11.7,7
1,5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7
1,5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7
0,8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,6
1,7,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,5
0,9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5
0,9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5
0,5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4
0,7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,5
1,6.6,0.4,0.46,6.2,0.056,42,241,0.9968,3.5,0.6,9.9,5
0,7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,6
1,6.7,0.22,0.39,1.2,0.049,26,152,0.99346,3.5,0.47,10,6
1,7,0.23,0.42,5.1,0.042,37,144,0.99518,3.5,0.59,10.2,6
0,5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,6
1,5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,5
0,7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3
0,6.5,0.9,0,1.6,0.052,9,17,0.99467,3.5,0.63,10.9,6
0,7,0.23,0.4,1.6,0.063,21,67,0.9952,3.5,0.63,11.1,5
1,5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5
1,5.5,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5
0,5.9,0.46,0,1.9,0.077,25,44,0.99385,3.5,0.53,11.2,5
1,5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7,5
0,6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,6
0,5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8
0,7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5
0,6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5
1,6.4,0.27,0.19,1.9,0.085,21,196,0.99516,3.49,0.64,9.5,4
1,6.4,0.27,0.19,2,0.084,21,191,0.99516,3.49,0.63,9.6,4
1,5.6,0.2,0.36,2.5,0.048,16,125,0.99282,3.49,0.49,10,6
1,7.7,0.29,0.29,4.8,0.06,27,156,0.99572,3.49,0.59,10.3,6
0,7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5
0,7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5
1,6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,6
0,7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5
0,7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5
1,5.6,0.18,0.3,10.2,0.028,28,131,0.9954,3.49,0.42,10.8,7
1,5.6,0.33,0.28,1.2,0.031,33,97,0.99126,3.49,0.58,10.9,6
1,6.3,0.21,0.31,1.2,0.043,30,117,0.99158,3.49,0.68,11,6
0,6.4,0.67,0.08,2.1,0.045,19,48,0.9949,3.49,0.49,11.4,6
0,6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,5
0,7.9,0.51,0.25,2.9,0.077,21,45,0.9974,3.49,0.96,12.1,6
1,6.3,0.48,0.48,1.8,0.035,35,96,0.99121,3.49,0.74,12.2,6
0,5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,6
0,7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5
0,7.6,0.41,0.49,2,0.088,16,43,0.998,3.48,0.64,9.1,5
0,7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5
0,7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5
0,7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5
0,6.8,0.67,0.02,1.8,0.05,5,11,0.9962,3.48,0.52,9.5,5
0,7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5
1,7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
1,7.2,0.34,0.3,8.4,0.051,40,167,0.99756,3.48,0.62,9.7,5
0,10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,5
0,7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6
0,9.2,0.92,0.24,2.6,0.087,12,93,0.9998,3.48,0.54,9.8,5
0,7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5
0,7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5
1,7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,6
0,8.3,0.78,0.1,2.6,0.081,45,87,0.9983,3.48,0.53,10,5
1,7.2,0.2,0.36,2.5,0.028,22,157,0.9938,3.48,0.49,10.6,6
1,6,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,6
1,6,0.34,0.29,6.1,0.046,29,134,0.99462,3.48,0.57,10.7,6
1,6.2,0.2,0.26,1.1,0.047,42,119,0.99158,3.48,0.6,11,7
0,8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,3
1,5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2,4
0,7.6,0.715,0,2.1,0.068,30,35,0.99533,3.48,0.65,11.4,6
0,6.2,0.51,0.14,1.9,0.056,15,34,0.99396,3.48,0.57,11.5,6
0,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6
0,8.7,0.69,0.31,3,0.086,23,81,1.0002,3.48,0.74,11.6,6
0,5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,6
1,5.7,0.26,0.3,1.8,0.039,30,105,0.98995,3.48,0.52,12.5,7
1,4.4,0.46,0.1,2.8,0.024,31,111,0.98816,3.48,0.34,13.1,6
1,5.4,0.5,0.13,5,0.028,12,107,0.99079,3.48,0.88,13.5,7
1,6.3,0.2,0.3,5.9,0.034,35,152,0.99642,3.47,0.4,8.5,6
1,6.5,0.35,0.38,7.4,0.036,20,196,0.99712,3.47,0.48,9.1,6
1,6.3,0.4,0.32,10.6,0.049,38,209,0.9981,3.47,0.59,9.3,6
